,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_ad,hash_asmr,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_satisfying,hash_tiktok,hash_viral
3,US,7075910222945979691,1647488732,Reply to @ethan.john08  MY HAND FEELS LIKE A BOBA CUP🧋#fyp #hawaii #mukbang #boba #fypシ,6823565554893718533,Ridge & Sandy,"💌 thrillshnl@gmail.com
📦510 Piikoi St. Ste. 104
Honolulu, Hi 96814",0,False,https://t.tiktok.com/i18n/share/video/7075910222945979691/?region=US&mid=6704930248477116418&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075910222945979691&source=h5_t,17655398,1690,3556,2446,1205003,6704930248477116418,6704930248477116418,10033,6704930248477116418,Thinking with My Dick (feat. Juicy J),Kevin Gates,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/48f5fa1fcc544f02a28544f3e85009eb,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/9b751e22d4374f3883da37dcbe088130,True,True,,,,,[],0,0,Cambodia,#fyp #hawaii #mukbang #boba #fypシ,0,0,0,0,0,1,1,0,0,0
4,CH,7082030843824196869,1648913800,#drawingwhityou,6996551347752371205,Candy_artist_<3,"💖I play Roblox my Username is Candy_star04012, we can play once together :)💖",0,False,https://t.tiktok.com/i18n/share/video/7082030843824196869/?region=US&mid=6739983002241075202&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082030843824196869&source=h5_t,11507110,8636,38403,2246,1042457,6739983002241075202,6739983002241075202,10033,6739983002241075202,Gentleman,Dance Hits 2015,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/539cc483958545d3986f6e7535439abe,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/63795e824f984098a336d811c398abea,False,True,,,,,[],0,0,Cambodia,#drawingwhityou,0,0,0,0,0,0,0,0,0,0
5,KH,7102647999968365850,1653714106,#ver ប៉ះតិចសោះ😒,6978061140731741186,🇰🇭łin 🇨🇳,fb.Mēē Łīn.,0,False,https://t.tiktok.com/i18n/share/video/7102647999968365850/?region=US&mid=6989528640191072264&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102647999968365850&source=h5_t,235873,135,966,5,19592,6989528640191072264,6989528640191072264,25,6989528640191072264,五十年以后,海来阿木,,,True,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6375b9f739224573a8d25ea663a6257c,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/5faacf07d164486c9a616e6b1973eb7d,True,True,,,,,[],0,0,Cambodia,#ver,0,0,0,0,0,0,0,0,0,0
6,KH,7073683907610266907,1646970380,Stev BBR😂#fypシ #back,6556032103070597121,DyMong_D,"DAG Team💖
fb: Ahh Mance",0,False,https://t.tiktok.com/i18n/share/video/7073683907610266907/?region=US&mid=7073441616421194523&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073683907610266907&source=h5_t,67271,49,74,0,8068,7073441616421194523,7073441616421194523,24,7073441616421194523,original sound - Phengg 🖤✨,Phengg 🖤✨,6.552997729479016e+18,Phengg 🖤✨,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7073441611816602395.mp3,,False,False,,,,,[],0,0,Cambodia,#fypシ #back,0,0,0,0,0,0,1,0,0,0
7,KH,7081145382092279066,1648707637,មូលហេតុព្រោះ យើងប្រើបន្ទាប់ទឹកមិនដូចគ្នា  🚾🚽ហាហា ថាលែងទេ 😅🤣សាកគិតលែងៗមើល  😌😅,6845666610700665858,🦋Grace 👩🏾‍🦱,"Jesus lovers 💙🕊️
love you all 💗
Here my SC:Bygrace_2023😉",0,False,https://t.tiktok.com/i18n/share/video/7081145382092279066/?region=US&mid=6852069215051008774&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081145382092279066&source=h5_t,50163,19,5,4,5958,6852069215051008774,6852069215051008774,72,6852069215051008774,original sound - Tay $moke,Tay $moke,6.783288421763778e+18,Tay $moke,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6852069193144175366.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7841bc851e7ade71f13244dbbb5dd606.json,False,False,,,,,[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
0,KH,7092236741880466714,1651290046,គីគីនីតូ តូៗរីតូ គីគីឡូូ🤣@zambatak,6544952886307066895,Nara Bunchan,"My Instagram 👆🏻
My facebook👇🏻

https://www.facebook.com/nara.bunchan",0,False,https://www.tiktok.com/@bunchannara99/video/7092236741880466714?_r=1&u_code=0&region=US&mid=7091307001262738202&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092236741880466714&source=h5_t,70100,36,16,17,4475,7091307001262738202,7091307001262738202,24,7091307001262738202,original sound - niyay_knea,niyay_knea,6.962063252646856e+18,niyay_knea,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7091307028345260827.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2c84caf93e21d3d1f7e32b8593e00819.json,False,False,,,,,[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
1,KH,7103313093421288730,1653868961, ,7069506022088836123,Zeii Kāā777,,0,False,https://www.tiktok.com/@user5nq3ursvpz/video/7103313093421288730?_r=1&u_code=0&region=US&mid=7089467818327968538&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103313093421288730&source=h5_t,3102,13,3,0,514,7089467818327968538,7089467818327968538,24,7089467818327968538,original sound - Ý Nhi Hoàng,Ý Nhi Hoàng,6.55428726719606e+18,Ý Nhi Hoàng,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7089467834790595355.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1c3c3c2971c3001c2f4df825a16e7297.json,False,False,,,,,[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
2,KZ,7102049234412653825,1653574696,111-2-12111,6792447423807669254,AZIZA 🐇,"❤️ I’ll waiting for you on my Instagram ❤️
Мой магазин @merandmaid.shop",0,False,https://www.tiktok.com/@merandmaid/video/7102049234412653825?_r=1&u_code=0&region=US&mid=7073036425435843354&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102049234412653825&source=h5_t,14610029,2836,993,6982,1024051,7073036425435843354,7073036425435843354,24,7073036425435843354,taehyun is so bf (Contains music from: Fury - Leiner),"Contains music from: ""Fury""",7.060505385828124e+18,amber ✘,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7073036415197793050.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e274011ed7003c4e9c00460babdda416.json,False,False,Leiner,Fury,taehyun is so bf (Contains music from: Fury - Leiner),"Contains music from: ""Fury""",[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
3,US,7094457545036762414,1651807118, ,7042203909779981358,babylove 🍼,💖Babies growing up in happiness 💖,0,False,https://www.tiktok.com/@h2_vellshop/video/7094457545036762414?_r=1&u_code=0&region=US&mid=6903998480025405442&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094457545036762414&source=h5_t,19226807,1904,53413,57415,348767,6903998480025405442,6903998480025405442,10033,6903998480025405442,XI Shua Shua,F5 Sparx,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/3ae0da7c76cb4cc08da420c0c794faeb,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/2effef19845b45d9bb262c365c88ec58,False,True,,,,,[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
4,US,7102780511080254762,1653744960,Little tragus ornament done yesterday 🤍 #tattoos  #tattooartist #tattoo  #finelinetattoo  #tat,6745296333650985990,Sydney,"Owner of BlxckRose Ink in NJ
For PR/Collabs please email cassidylunney@gmail.com",0,False,https://www.tiktok.com/@sydsmithhhtattoo/video/7102780511080254762?_r=1&u_code=0&region=US&mid=7102073355808885547&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102780511080254762&source=h5_t,5007558,944,8156,73,223302,7102073355808885547,7102073355808885547,72,7102073355808885547,original sound - monet mcmichael 🤍,monet mcmichael 🤍,2128624.0,monet mcmichael 🤍,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7102073408774703918.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/0d336bd7bea4a6f17d40ee27910ff4ab.json,False,False,,,,,[],0,0,Cambodia,#tattoos #tattooartist #tattoo #finelinetattoo #tat,0,0,0,0,0,0,0,0,0,0
0,KH,7092664020666256666,1651389531,#ad #fpy😒 #នាទីធ្លាក់like💔🙃 លក់វិញតា 200$ទេ ប្រញ៉ាប់លុយ😫😫😫,7054146601060795393,{^Møø*Këõ^}♨️❤️‍🔥,"Fb:Mëÿ Skÿ 🖤
កូនអ្នកត្បូងឃ្មុំ🥰🥀🙃",0,False,https://t.tiktok.com/i18n/share/video/7092664020666256666/?region=US&mid=7091671758532643611&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092664020666256666&source=h5_t,100040,76,59,0,19774,7091671758532643611,7091671758532643611,24,7091671758532643611,original sound - PT (Contains music from: U Wanna It Like That - Sono),"Contains music from: ""U Wanna It Like That""",6.567665986068038e+18,PT,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7091671778988919579.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/f83c4747a75600b98acb55869967ced5.json,False,False,Sono,U Wanna It Like That,original sound - PT (Contains music from: U Wanna It Like That - Sono),"Contains music from: ""U Wanna It Like That""",[],0,0,Cambodia,#ad #fpy😒 #នាទីធ្លាក់like💔🙃,1,0,0,0,0,0,0,0,0,0
1,KH,7097616501036944667,1652542619, ,6971657838562542594,sunshine99999999,,0,False,https://t.tiktok.com/i18n/share/video/7097616501036944667/?region=US&mid=7084245629764930330&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097616501036944667&source=h5_t,154853,297,101,101,26780,7084245629764930330,7084245629764930330,24,7084245629764930330,"original sound - 𝙳 𝙾 𝙽 シ (Contains music from: 3,4 years - VI70)","Contains music from: ""3,4 years""",6.83690313793854e+18,𝙳 𝙾 𝙽 シ,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7084245650354850586.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/89730c4ceeaa68cb0cb495c12ed514b3.json,False,False,VI70,"3,4 years","original sound - 𝙳 𝙾 𝙽 シ (Contains music from: 3,4 years - VI70)","Contains music from: ""3,4 years""",[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
2,US,7081085723079839022,1648693747,#candy #sweet #snack #fyp #fypシ,7029283364948984837,spun sugar,,0,False,https://t.tiktok.com/i18n/share/video/7081085723079839022/?region=US&mid=6438748767054203650&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081085723079839022&source=h5_t,11243692,2888,1093,3958,551288,6438748767054203650,6438748767054203650,10009,6438748767054203650,Pretty Girl (Cheat Codes X Cade Remix),"Cheat Codes,Maggie Lindemann,CADE ",,,True,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/bd8a4782311b4c72bc252fb6c5954c76,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e8faba7aa72c47b2a139583f7ea7d464,True,True,,,,,[],0,0,Cambodia,#candy #sweet #snack #fyp #fypシ,0,0,0,0,0,1,1,0,0,0
3,US,7102091893349174533,1653584629,Responder a @aidanf44  Forbidden egg 🍳 with cheese 🧀 recipe? Don’t try this at home! ⚠️ #recipe #aprendeentiktok,6718992235998741510,Scott 🔥,"Sub to my NEW YouTube travel channel ✈️ ➡️ 
📧 : Email: Scott@grail-talent.com",0,False,https://t.tiktok.com/i18n/share/video/7102091893349174533/?region=US&mid=7102091905768409862&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102091893349174533&source=h5_t,2313044,220,63,326,86598,7102091905768409862,7102091905768409862,72,7102091905768409862,original sound - Scott 🔥,Scott 🔥,6.718992235998742e+18,Scott 🔥,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102091928157555462.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/cebe669ed735b7a3c0bbd17c6ff8e415.json,False,False,,,,,[],0,0,Cambodia,#recipe #aprendeentiktok,0,0,0,0,0,0,0,0,0,0
4,JP,7076329501684272385,1647586355,#Magician #マジック #ドヤ顔 @nakanoaki,6603555344852549634,Buzz Magician Shin シン,"❤️I’ll be the king of TikTok magicians!❤️
♠️YouTube!♦️YouTube!♣️YouTube!♠️",0,False,https://t.tiktok.com/i18n/share/video/7076329501684272385/?region=US&mid=7052913207468132354&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076329501684272385&source=h5_t,40357632,911,1529,13522,776594,7052913207468132354,7052913207468132354,10033,7052913207468132354,No edit!!,M2DK,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/06c9ff8da7a14db3b148911aafc22d0c,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/2616c0b2daef43efa2948ba10209653c,False,True,,,,,[],0,0,Cambodia,#Magician #マジック #ドヤ顔,0,0,0,0,0,0,0,0,0,0
5,KH,7091282688455281947,1651067914,#ad With je je🙄🤍@nich__12 #លាភហេង #leapheng #fyp,7089668891458798618,HeNg🤍,FB : លាភ ហេង🤍,0,False,https://t.tiktok.com/i18n/share/video/7091282688455281947/?region=US&mid=7039220810996861722&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091282688455281947&source=h5_t,50069,28,48,133,10360,7039220810996861722,7039220810996861722,24,7039220810996861722,original sound - H🖤,H🖤,7.024807776061736e+18,H🖤,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7039220800909609755.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e8598368e169df15e3c6c227631b4dbb.json,False,False,,,,,[],0,0,Cambodia,#ad #លាភហេង #leapheng #fyp,1,0,0,0,0,1,0,0,0,0
6,KH,7103025547109764378,1653802010,ការចងជើង(ចងជើងបត់ទៅក្រោមអោយតូច)ជាប្រពៃណីរបស់ជនជាតិចិន🇨🇳,6811000920617468929,ម៉ៅ ស្រីសរ,💙💛❤️️🇰🇭១៨១០៣៥🇰🇭❤️️💚💜,0,False,https://t.tiktok.com/i18n/share/video/7103025547109764378/?region=US&mid=7089769514271410970&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103025547109764378&source=h5_t,68541,54,40,1,5074,7089769514271410970,7089769514271410970,24,7089769514271410970,original sound - Ronan_Wu 😁 (Contains music from: 你怎麼說 - Teresa Teng),"Contains music from: ""你怎麼說""",6.839090010277725e+18,Ronan_Wu 😁,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7089769515122264858.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6c020fbb3ef48ce31cb37c832106bd43.json,False,False,Teresa Teng,你怎麼說,original sound - Ronan_Wu 😁 (Contains music from: 你怎麼說 - Teresa Teng),"Contains music from: ""你怎麼說""",[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
7,KH,7097130630223236378,1652429493,#ឬគិតថារូបអូនមិនចេះយំ,6916437511657178114,Lin single 💔💋,single sl ban 🥰សៀមរាប ផ្ទះខ្ញុំ🏡💋,0,False,https://t.tiktok.com/i18n/share/video/7097130630223236378/?region=US&mid=7089367425635945243&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097130630223236378&source=h5_t,447767,128,245,124,72318,7089367425635945243,7089367425635945243,24,7089367425635945243,original sound - នួន សុធារក្ស,នួន សុធារក្ស,6.545105447647887e+18,នួន សុធារក្ស,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7089367439615576858.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d47e3a0524e072f1ecb29cc68846a707.json,False,False,,,,,[],0,0,Cambodia,#ឬគិតថារូបអូនមិនចេះយំ,0,0,0,0,0,0,0,0,0,0
0,KH,7101617449749024027,1653474162,មេីលតែភ្នែកទៅដឹងហើយ😅💜💚@boreyborey88,6523831813353177090,Vireak Nan,"FB page : Vireak Nan
ig : Vireak_nan
YouTube: Vireak nan - វិរៈណាន់
0966296637",0,False,https://www.tiktok.com/@vireaknan/video/7101617449749024027?_r=1&u_code=0&region=US&mid=7097432912915680027&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101617449749024027&source=h5_t,285498,67,126,150,70221,7097432912915680027,7097432912915680027,24,7097432912915680027,original sound - REDKING-រ៉េដឃីង (Contains music from: ប្រាប់តៗគ្នាផង ខ្ញុំនៅSingleទេ - Redking),"Contains music from: ""ប្រាប់តៗគ្នាផង ខ្ញុំនៅSingleទេ""",6.504146354036752e+18,REDKING-រ៉េដឃីង,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7097432927260248858.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9537333e2a2a90b4955e7948dd316a84.json,False,False,Redking,ប្រាប់តៗគ្នាផង ខ្ញុំនៅSingleទេ,original sound - REDKING-រ៉េដឃីង (Contains music from: ប្រាប់តៗគ្នាផង ខ្ញុំនៅSingleទេ - Redking),"Contains music from: ""ប្រាប់តៗគ្នាផង ខ្ញុំនៅSingleទេ""",[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
1,KH,7102809111724608795,1653751618,Reply to @user103shrk1nh ជម្រាបសួរបងប្អូនអ្នកសៀមរាប🙏,7038969084780921882,Pu Nith E Ka - ពូនិត អុីកា,"IG: la_phanith_skin7
FB: La Phanith
ពូនិត អុីកា ជាម្ចាស់ប្រេនSkin7 Cambodia",0,False,https://www.tiktok.com/@punith_eka_skin7/video/7102809111724608795?_r=1&u_code=0&region=US&mid=6857195332195846146&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102809111724608795&source=h5_t,178651,49,36,35,18776,6857195332195846146,6857195332195846146,10033,6857195332195846146,Y (Please Tell Me Why),프리스타일,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6e1d0ff96fbe43369dacb008f687ea83,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/9d4c09dc6ef04f5fad1c5209fe0d3baa,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1547829793', 'external_song_key': 'apple_song_id'}]",0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
2,US,7101058927319895342,1653344121,A ♾ J ❤️‍🔥,6615412531505397766,Ayden Mekus,"Ayden 💙
Actor, Influencer, YouTuber",0,False,https://www.tiktok.com/@aydenmekus/video/7101058927319895342?_r=1&u_code=0&region=US&mid=7076819615875173121&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101058927319895342&source=h5_t,3632494,8349,1312,1815,396357,7076819615875173121,7076819615875173121,24,7076819615875173121,Somebody That I Used to Know (Remix) (Contains music from: Time - Leiner),"Contains music from: ""Time""",7.039728171708761e+18,♬,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7076819594492545793.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/cb532bf3d2e69ce0ffb54c5f19ca87bd.json,False,False,Leiner,Time,Somebody That I Used to Know (Remix) (Contains music from: Time - Leiner),"Contains music from: ""Time""",[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
3,DE,7103148319773428998,1653830597,#america,6963379662844134406,Malik Haje,,0,False,https://www.tiktok.com/@abu_alhool/video/7103148319773428998?_r=1&u_code=0&region=US&mid=7103148312525638405&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103148319773428998&source=h5_t,1358312,167,53,158,34370,7103148312525638405,7103148312525638405,72,7103148312525638405,original sound - Malik Haje,Malik Haje,6.963379662844134e+18,Malik Haje,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103148315848198918.mp3,,False,False,,,,,[],0,0,Cambodia,#america,0,0,0,0,0,0,0,0,0,0
4,EC,7076259328503581958,1647570016,Estamos de vuelta 🥰 @Aapril,6919695049778103301,Indi Skovar,"Contacto: 

indiskovar@trendsetters.com 📮📥",0,False,https://www.tiktok.com/@indiskovar3.0/video/7076259328503581958?_r=1&u_code=0&region=US&mid=7068308733318793990&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076259328503581958&source=h5_t,50415391,11277,5264,23829,2777761,7068308733318793990,7068308733318793990,72,7068308733318793990,original sound - . (Contains music from: Here I Am - Rene Dale),"Contains music from: ""Here I Am""",7.065787347556632e+18,.,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7068308728080075525.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/b822de14180c488ddc65788ac84f6166.json,False,False,Rene Dale,Here I Am,original sound - . (Contains music from: Here I Am - Rene Dale),"Contains music from: ""Here I Am""",[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
5,US,7091645630547840302,1651152419,#dog #pet #petlover #dogsofttiktok #doglover #for,7089646180185457710,Cute puppy,Follow me for more,0,False,https://www.tiktok.com/@williamdavidsono/video/7091645630547840302?_r=1&u_code=0&region=US&mid=6726753873739909122&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091645630547840302&source=h5_t,14857446,6070,11983,24717,402772,6726753873739909122,6726753873739909122,10033,6726753873739909122,The Hamster Dance Song,Hampster Dance Masters,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6cd2f506ddb8465b9a4838433a73b4f6,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/52340d52ec3047208286b50db601e12c,False,True,,,,,[],0,0,Cambodia,#dog #pet #petlover #dogsofttiktok #doglover #for,0,0,0,0,0,0,0,0,0,0
0,KH,7080100485079911706,1648464353,When you be a mom,7069050497340556293,地球小仙女,大家好我是来自地球🌍最漂亮的小姐姐，刚刚入住Tiktok希望大家多多支持关注我有福利哦,0,False,https://www.tiktok.com/@xiaoqiang26/video/7080100485079911706?_r=1&u_code=0&region=US&mid=7080100504390437658&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080100485079911706&source=h5_t,12180425,1374,2547,9607,836678,7080100504390437658,7080100504390437658,72,7080100504390437658,original sound - 地球小仙女 (Contains music from: Toca Toca (Extended Mix) - Fly Project),"Contains music from: ""Toca Toca (Extended Mix)""",7.069050497340556e+18,地球小仙女,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7080100501462731546.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/fe7f85ff38c0658c97c4a5c3d60b2a7a.json,False,False,Fly Project,Toca Toca (Extended Mix),original sound - 地球小仙女 (Contains music from: Toca Toca (Extended Mix) - Fly Project),"Contains music from: ""Toca Toca (Extended Mix)""",[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
1,KH,7102331138470939930,1653640332,Som kiss muy @Vii Da #foryou #fyp,7061092696089723905,HENG,"Fb: Heng Tuchh

🫳ST Team 🫴",0,False,https://www.tiktok.com/@bunheng977/video/7102331138470939930?_r=1&u_code=0&region=US&mid=7100266567274990338&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102331138470939930&source=h5_t,326245,86,182,246,62758,7100266567274990338,7100266567274990338,24,7100266567274990338,original sound - Micky,Micky,6.642664328582693e+18,Micky,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7100266563667774209.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/cfd46a6c3182cbb9c277088251e2562f.json,False,False,,,,,[],0,0,Cambodia,#foryou #fyp,0,0,1,0,0,1,0,0,0,0
2,GB,7102961484669390086,1653787097, ,6968002207766873094,jtf090,Wonderful movie,0,False,https://www.tiktok.com/@jtf090/video/7102961484669390086?_r=1&u_code=0&region=US&mid=7102961449743567621&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102961484669390086&source=h5_t,1126925,79,24,240,41826,7102961449743567621,7102961449743567621,72,7102961449743567621,original sound - jtf090,jtf090,6.968002207766873e+18,jtf090,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102961459046419205.mp3,,False,False,,,,,[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
3,IT,7074934722475986182,1647261607,"The new way to eat oranges, make oranges into puddings.#catsoftiktok #catlover #foodtiktok #kittygod_cn",6974381582473249797,KittyGod,"😺I’m Lego,a cat chef🐱
我叫长安，我是料理猫王
🤝📩501303671@qq.com",0,False,https://www.tiktok.com/@kittygod_cn/video/7074934722475986182?_r=1&u_code=0&region=US&mid=7074934678788098822&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7074934722475986182&source=h5_t,88772790,21689,96045,10546,4181445,7074934678788098822,7074934678788098822,72,7074934678788098822,original sound - KittyGod,KittyGod,6.97438158247325e+18,KittyGod,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7074934673020914438.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/296c6912df6741dd06cef05ea160d7b6.json,False,False,,,,,[],0,0,Cambodia,#catsoftiktok #catlover #foodtiktok #kittygod_cn,0,0,0,0,0,0,0,0,0,0
4,US,7079858671114571051,1648408052,How’d we do ? 😂 @brrryaannn @spicy_mcchick3n @hoeassari @_estevancastro #fyp #subwaysurfers #skaters #sk8 #skate #foryou #trending,6744087021226460166,Fabian Bustamante,"follow me if you’re cool
I sk8 and <3 snkrs 
2nd acc : @youngmafiaaa2.0",0,False,https://www.tiktok.com/@youngmafiaaa/video/7079858671114571051?_r=1&u_code=0&region=US&mid=7011467355561659137&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079858671114571051&source=h5_t,5692101,3587,2657,4576,716982,7011467355561659137,7011467355561659137,24,7011467355561659137,original sound - Maytree 메이트리,Maytree 메이트리,6.59905037005534e+18,Maytree 메이트리,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7011467236548365057.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d1d9830c74dcfb094b8ea343967fcf67.json,False,False,,,,,[],0,0,Cambodia,#fyp #subwaysurfers #skaters #sk8 #skate #foryou #trending,0,0,1,0,0,1,0,0,0,0
